macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
-2.7964842,3.7222192,-0.6790343,-4.070887,-0.4148692,-4.2673535,-4.0143394,UTTAR PRADESH,SANT RAVIDAS NAGAR BHADOHI
-4.428576,2.1133335,-0.97894335,14.303713,-3.10593,-5.071637,-4.8147855,UTTAR PRADESH,MIRZAPUR
0.4790428,-2.6376886,-2.4388402,1.5496575,-1.0222826,-4.3133016,-4.526017,UTTAR PRADESH,SONBHADRA
-4.2070894,0.9404101,-0.4651882,1.0304742,-2.2528422,-4.126679,-4.0918593,UTTAR PRADESH,ETAH
-3.0347176,-3.259743,-1.2276441,-4.8774548,-1.7175444,-4.171542,-3.7731588,UTTAR PRADESH,KANSHIRAM NAGAR
-0.96713054,-1.0746398,1.2175778,30.893972,-2.5066018,17.970787,-4.1222696,BIHAR,PASHCHIM CHAMPARAN
-0.77992827,0.9015454,-0.5832613,48.15024,1.4008437,9.510204,-4.1102924,BIHAR,PURBA CHAMPARAN
0.73793465,-7.2820725,1.3065424,-21.997461,-2.3700356,7.122842,-3.095433,BIHAR,SHEOHAR
-2.5585551,-4.716192,0.8662375,31.73704,-3.504052,6.392551,-4.1293087,BIHAR,SITAMARHI
-2.0923164,0.67825675,-0.8190227,40.888798,-3.14336,-2.7918947,-2.2945147,BIHAR,MADHUBANI
-3.8322878,-3.895018,-0.18988726,9.41044,-4.234139,3.6284497,-4.718931,BIHAR,SUPAUL
-4.0171056,-0.4570442,-0.5987139,15.950072,-2.0755446,-3.8823018,-5.180336,BIHAR,ARARIA
0.30475882,-4.563427,0.45833844,-2.8101892,-0.8967251,2.1355753,-3.8948631,BIHAR,KISHANGANJ
-4.691895,0.40456462,0.48828778,29.57965,-2.7763274,-8.306662,-3.0213742,BIHAR,PURNIA
-3.6438565,1.085105,0.07508188,20.848198,-1.6113846,-4.9695716,-4.601047,BIHAR,KATIHAR
-1.25865,-2.780225,-0.456204,0.16903175,-2.776977,-2.211788,-5.0570254,BIHAR,MADHEPURA
-1.2385391,-3.6911454,-0.37099275,0.5016177,-1.7143396,3.257544,-3.0417664,BIHAR,SAHARSA
-0.43723112,2.9962873,0.27441025,25.425478,4.5653768,-4.847916,-3.5982366,BIHAR,DARBHANGA
0.27707407,0.1455707,-1.464945,47.98701,2.9701614,6.825424,-2.8242574,BIHAR,MUZAFFARPUR
-0.021508345,-4.6305137,0.9538696,16.521782,-4.8664575,7.450305,-1.1670637,BIHAR,GOPALGANJ
-0.3612715,-3.2843127,0.14567171,33.140594,-3.2680173,6.300072,-0.26033348,BIHAR,SIWAN
-1.0367631,1.5825619,0.650189,26.117426,-2.5625834,-4.4682465,-4.251279,BIHAR,SARAN
-0.9190535,1.4013195,0.15689856,30.977825,-3.1775208,-0.7973229,-4.301023,BIHAR,VAISHALI
